id,field_id,instition,sex,UNITS,SNOUT2EYE,SNOUT2MELON,JAWPROJ,GAPE,SNOUT2EAR,EYE2EAR,EYE2ANGLE,SNOUT2BH,LGROOVES,SNOUT2FLIP,SNOUT2DORS,SNOUT2UMBIL,SNOUT2GROOVES,SNOUT2GEN,SNOUT2ANUS,TL,THICKNESSBLUBBERMIDDORSAL,THICKNESSBLUBBERMIDLAT,THICKNESSBLUBBERMIDVENT,GIRTHAXILLA,GIRTHEYE,GIRTHMAX,GIRTHANUS,GIRTH_AT_CM,GIRTHAT,APERATUREEYE,LEYE,LMAMSLITRIGHT,LENGTHMAMSLITLEFT,LGEN,LANAL,LBH,WBH,DIAMETEREARRIGHT,DIAMETEREARLEFT,LFLIPANT,LFLIPPOST,WFLIPMAX,HDORS,WDORS,WFLUKES,LFLUKES,DEPTHNOTCH,NOTES,MASSGONADSRIGHT,MASSGONADSLEFT,PREG,LENGTHFETUS,SEXFETUS,LACTATING,SPERMEPIDIDYMUS
500207,JGM69,NMNH,m,cm,,,,,,,,,,,,,,,,488,,,,,,,,,,,,,,,,,,,,,,,,144,,,,,,,,,,,
550310,WP214,NMNH,m,cm,,,,,,,,,,,,,,,,246,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
550423,WAM015,NMNH,m,cm,,,,,,,,,,,,,,,,443,,,,,,,,,,,,,,,,,,,,,,,,86,,,,,,,,,,,
550424,WAM016,NMNH,m,cm,,,,,,,,,,,,,,,,476,,,,,,,,,,,,,,,,,,,,,,,,102,,,,,,,,,,,
550438,MPH014,NMNH,m,cm,,,,,,,,,,,,,,,,477,,,,,,,,,,,,,,,,,,,,,,,,92,,,,,,,,,,,
550821,MPH027,NMNH,m,cm,,,,,,,,,,,,,,,,219,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
571555,92-MM-AO-GM-11,NMNH,m,cm,,,,,,,,,,,,,,,,398,,,,,,,,,,,,,,,,,,,,,,,,67,,,,,,,,,,,
571596,2-1-83-LNSW,NMNH,m,cm,,,,,,,,,,,,,,,,253,,,,,,,,,,,,,,,,,,,,,,,,44.5,,,,,,,,,,,
571746,VGT099,NMNH,f,cm,,,,,,,,,,,,,,,,259,,,,,,,,,,,,,,,,,,,,,,,,52,,,,,,,,,,,
571932,VGT151,NMNH,m,cm,,,,,,,,,,,,,,,,411,,,,,,,,,,,,,,,,,,,,,,,,106,,,,,,,,,,,